magnetic_field_g,loss_rate_s,survival,excess_ratio,partial_wave,parameter_status
319.8,0.05466215782198633,0.9891271102889473,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.82,0.05534570085504306,0.9889918973425356,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.84000000000003,0.056056239551001454,0.9888513639256049,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.86,0.05679629867996309,0.9887050130608895,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.88,0.05756887248099329,0.9885522553448468,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.90000000000003,0.058377575270278106,0.988392379281167,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.92,0.05922686523362598,0.9882245071932639,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.94,0.06012238983191438,0.9880475271717687,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.96000000000004,0.06107154034560727,0.9878599838094262,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
319.98,0.062084372666715085,0.987659896771506,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.0,0.06317514662380262,0.9874444575331398,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.02000000000004,0.06436468696343858,0.9872095644726477,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.04,0.06568267182352354,0.9869493733150138,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.06,0.06716583343974529,0.9866566556463902,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.08,0.06885189638141337,0.9863239986929515,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.1,0.07078308957313109,0.9859431158153078,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.12,0.07301851443267994,0.9855024139879918,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.14,0.07563534431122124,0.9849867705024301,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.16,0.07859964380472192,0.9844029844142288,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.18,0.08170188905472804,0.9837924019549714,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.2,0.0848917550529791,0.983164968932512,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.22,0.08822021275803188,0.9825107021233772,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.24,0.09189445290330031,0.981788971284118,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.26,0.0965936506742866,0.9808666806455301,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.28000000000003,0.10222135340410249,0.9797632964945634,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.3,0.10811418106709164,0.9786092614297671,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.32,0.11405234466454967,0.9774477229283866,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.34000000000003,0.12017457383072282,0.976251623565722,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.36,0.12623915262774446,0.9750682304095399,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.38,0.13231371556749302,0.9738843270574695,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.40000000000003,0.13957873086605807,0.9724702976937215,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.42,0.1481007044811595,0.9708142361422226,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.44,0.15503941169499444,0.9694679313710252,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.46000000000004,0.16041585258792046,0.9684260342351318,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.48,0.16811223689518914,0.9669365051415426,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.5,0.17930674024969137,0.9647740520136489,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.52,0.1920930512514157,0.962310023724574,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.54,0.20534652682186683,0.9597626109453002,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.56,0.21948496394134437,0.9570525357090085,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.58,0.23764245554871644,0.9535833040990237,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.6,0.2601852724107358,0.9492936906050641,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.62,0.2808215145682972,0.9453837938173175,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.64,0.29203190889628255,0.9432665432016879,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.66,0.29438350420794496,0.9428230112744955,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.68,0.2945570939001779,0.9427902789714264,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.7,0.2976667571482406,0.9422041092131465,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.72,0.3050420710008326,0.9408153235342535,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.74,0.3165450478378016,0.9386533759961547,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.76,0.3320761008377744,0.9357422445642519,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.78000000000003,0.3500383075890442,0.9323866763814573,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.8,0.36815970136842735,0.9290135634011074,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.82,0.3838308708311433,0.9261063758867601,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.84000000000003,0.3951226174552497,0.9240172640381272,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.86,0.4034619196708807,0.9224774166768803,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.88,0.4119027597771779,0.9209214335517236,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.90000000000003,0.42227310869913715,0.919013357657882,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.92,0.4351572563767947,0.9166482654227781,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.94,0.4498280934557102,0.9139626079617574,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.96000000000004,0.46452814308178203,0.9112794949451837,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
320.98,0.47723701303421456,0.9089661696473637,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.0,0.4860535293047388,0.9073647989085909,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.02,0.48944851162698005,0.9067489105348435,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.04,0.48711104127103594,0.9071729093753255,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.06,0.4805988314475809,0.9083552192195702,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.08,0.4725541063849842,0.9098178891813644,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.1,0.46525415430643835,0.9111471847228609,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.12,0.45977952334499,0.912145370010329,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.14,0.4560894543329861,0.9128187943508559,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.16,0.4534987650109285,0.9132918828835125,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.18,0.4511194872742678,0.9137265813109424,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.2,0.4482284154927384,0.9142550639113839,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.22,0.4445400641664269,0.9149297314974116,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.24,0.44022696193906885,0.9157193090938989,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.26,0.4357040333783386,0.9165480304654873,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.28000000000003,0.43139227797216756,0.9173387575437357,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.3,0.4275856419053521,0.9180374184247508,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.32,0.4243995930665678,0.9186225872527839,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.34000000000003,0.42177101323719807,0.9191056487789679,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.36,0.4195071056068271,0.9195218970649013,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.38,0.41736657820323747,0.9199156337030678,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.40000000000003,0.4151362370120095,0.9203260703837062,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.42,0.41267405329009155,0.9207793843626468,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.44,0.40991389059673367,0.9212878248686928,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.46000000000004,0.40684523476641915,0.9218534214641046,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.48,0.40348552147638617,0.9224730622606433,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.5,0.3998573253019934,0.9231426878316489,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.52,0.3959751212124765,0.9238597318303217,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.54,0.3918411133210405,0.9246238963774098,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.56,0.3874474085191325,0.9254367583633587,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.58,0.38278141752136907,0.9263007773678498,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.6,0.37783182626909423,0.9272181934213065,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.62,0.3725933903032508,0.9281901371053978,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.64,0.36706984612559457,0.9292160835326154,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.66,0.3612750329377214,0.9302936345557377,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.68,0.3552326661047978,0.9314185492140008,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.7,0.34897518288681983,0.9325849461207933,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.72,0.3425419350226094,0.9337856284063927,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.74,0.33597692236762566,0.9350124965641393,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.76,0.3293262847036811,0.9362570099265782,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.78000000000003,0.32263582434212057,0.9375106465627778,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.8,0.3159488396804052,0.9387653092295201,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.82,0.30930448160151996,0.9400136370528352,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.84000000000003,0.302736726893254,0.9412492041634681,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.86,0.2962739432828671,0.942466608762215,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.88,0.28993893603424475,0.9436614721087876,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.90000000000003,0.28374932915847034,0.9448303741711719,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.92,0.27771813788072225,0.9459707523591285,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.94,0.2718544167055957,0.9470807848703527,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.96000000000004,0.26616390325731704,0.9481592736580181,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
321.98,0.26064961122948865,0.9492055359163027,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
322.0,0.2553123511895391,0.9502193082520073,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
322.02,0.25015117475026977,0.9512006645613542,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
322.04,0.24516374706546817,0.9521499468359614,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
322.06,0.24034665678675649,0.9530677073090358,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
322.08,0.2356956734930421,0.9539546601622665,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
322.1,0.23120596170793886,0.9548116411604901,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
322.12,0.2268722590084034,0.9556395738674486,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
