artifact_state,parameter_match,group,length,dimension,beta,observable,family,boundary,shell_mode,shell_width,delta,count,log_d_count
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0,256,1.0
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0025,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.005,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0075,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.01,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0125,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.015,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0175,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.02,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0225,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.025,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0275,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.03,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0325,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.035,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0375,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.04,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0425,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.045,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0475,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.05,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0525,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.055,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0575,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.06,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0625,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.065,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0675,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.07,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0725,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.075,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0775,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.08,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.0825,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,8,256,0.25,sigma_x,eth_integrable,periodic,centred,16,0.085,0,
