artifact_state,parameter_match,group,length,dimension,beta,observable,family,boundary,shell_mode,shell_width,delta,count,log_d_count
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0,1024,1.0
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0025,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.005,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0075,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.01,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0125,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.015,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0175,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.02,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0225,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.025,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0275,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.03,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0325,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.035,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0375,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.04,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0425,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.045,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0475,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.05,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0525,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.055,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0575,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.06,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0625,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.065,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0675,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.07,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0725,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.075,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0775,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.08,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0825,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.085,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.08750000000000001,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.09,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0925,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.095,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.0975,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.1,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.10250000000000001,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.105,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.1075,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.11,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.1125,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.115,0,
final_reproduction_candidate,paper_exact_reconstructed_metadata,integrable,10,1024,0.25,sigma_x,eth_integrable,periodic,centred,32,0.11750000000000001,0,
